second,transfer,bitrate
0,308.8,2.59
1,307.2,2.58
2,313.8,2.63
3,310.0,2.58
4,316.6,2.63
5,308.2,2.63
6,315.0,2.63
7,309.2,2.61
8,312.2,2.6
9,312.2,2.62
10,301.4,2.54
11,311.6,2.61
12,312.2,2.64
13,310.4,2.59
14,306.0,2.58
15,309.2,2.6
16,309.4,2.58
17,308.8,2.61
18,309.4,2.59
19,293.4,2.48
20,310.2,2.6
21,309.8,2.6
22,313.0,2.61
23,305.6,2.57
24,308.2,2.59
25,314.0,2.62
26,321.4,2.61
27,306.8,2.57
28,310.0,2.65
29,307.2,2.62
30,295.8,2.46
31,297.2,2.5
32,292.8,2.46
33,298.6,2.52
34,283.0,2.36
35,305.8,2.58
36,313.0,2.6
37,309.4,2.62
38,313.4,2.63
39,315.2,2.63
40,312.8,2.62
41,312.6,2.64
42,315.6,2.64
43,298.4,2.53
44,306.0,2.52
45,288.2,2.45
46,291.2,2.44
47,300.4,2.5
48,292.2,2.46
49,283.4,2.4
50,293.8,2.46
51,282.8,2.35
52,287.2,2.42
53,292.4,2.47
54,304.0,2.54
55,293.8,2.45
56,295.4,2.53
57,317.8,2.66
58,312.6,2.62
59,317.2,2.6
